Task_ID,Department,Task_Type,Priority,Deadline_Days,Estimated_Hours,Resource_Available
1,Tech,Payment,5,30,3,0
2,HR,Support,2,8,16,1
3,Marketing,Hiring,4,25,15,0
4,Tech,Hiring,3,10,11,1
5,Tech,Payment,3,2,18,0
6,HR,Campaign,2,9,15,0
7,Marketing,Support,3,24,5,1
8,Marketing,Hiring,3,23,16,1
9,Tech,Payment,1,3,16,1
10,Finance,Hiring,4,18,17,1
11,Tech,Support,4,7,9,0
12,Tech,Support,1,15,3,1
13,Tech,Development,1,21,20,0
14,Tech,Payment,3,22,13,1
15,HR,Support,5,20,3,0
16,Marketing,Development,3,18,7,1
17,HR,Development,1,25,6,0
18,HR,Hiring,4,3,9,0
19,HR,Hiring,3,28,12,0
20,Tech,Development,5,30,15,1
21,Finance,Hiring,3,23,20,1
22,Marketing,Support,2,14,3,1
23,Finance,Campaign,3,24,10,1
24,HR,Support,1,2,1,0
25,HR,Development,4,14,19,0
26,Finance,Development,4,22,19,0
27,Finance,Support,1,11,13,1
28,Finance,Hiring,2,16,12,0
29,HR,Hiring,1,8,1,0
30,HR,Development,3,7,19,1
31,Marketing,Payment,1,11,16,1
32,Marketing,Hiring,1,3,15,0
33,HR,Support,2,17,16,1
34,Finance,Hiring,3,14,11,1
35,Finance,Support,5,6,6,1
36,Marketing,Development,5,8,11,1
37,HR,Hiring,4,22,3,0
38,Marketing,Support,1,5,15,0
39,Marketing,Development,4,27,1,0
40,Tech,Payment,2,28,7,0
41,Tech,Support,5,8,1,0
42,Tech,Payment,1,2,17,1
43,Finance,Payment,2,15,9,0
44,HR,Campaign,2,12,13,0
45,HR,Hiring,1,17,11,1
46,HR,Support,2,1,20,1
47,HR,Payment,1,15,6,1
48,Tech,Campaign,1,14,1,0
49,Finance,Development,3,20,7,1
50,Finance,Support,4,22,12,1
51,Tech,Payment,2,16,20,1
52,Finance,Hiring,2,29,19,0
53,Tech,Campaign,3,9,17,1
54,HR,Payment,3,1,4,1
55,Tech,Hiring,3,28,3,0
56,HR,Payment,5,17,1,1
57,HR,Support,5,29,18,0
58,Marketing,Support,5,13,15,0
59,Tech,Support,1,21,8,1
60,Marketing,Campaign,2,26,1,0
61,Tech,Support,4,21,20,1
62,Tech,Hiring,1,5,14,1
63,Marketing,Payment,2,10,4,1
64,Marketing,Development,2,6,5,1
65,Tech,Hiring,3,24,13,0
66,Finance,Hiring,3,19,15,1
67,HR,Support,1,25,6,1
68,Marketing,Campaign,3,13,1,1
69,HR,Payment,2,1,19,0
70,Finance,Campaign,3,20,13,0
71,Finance,Payment,5,25,6,1
72,Finance,Payment,3,15,15,0
73,Marketing,Campaign,2,14,16,0
74,Finance,Hiring,1,8,16,1
75,Marketing,Payment,4,10,10,1
76,Finance,Campaign,3,9,9,1
77,HR,Payment,2,17,9,1
78,HR,Development,4,9,17,1
79,Tech,Hiring,4,3,17,0
80,HR,Support,5,11,17,1
81,Tech,Payment,4,12,12,1
82,HR,Development,2,10,13,1
83,Marketing,Support,2,25,12,1
84,HR,Support,3,17,14,1
85,Tech,Payment,3,17,10,0
86,Tech,Campaign,3,25,19,1
87,Finance,Payment,4,11,2,0
88,Marketing,Development,4,30,4,1
89,HR,Support,5,22,19,1
90,Finance,Payment,3,4,7,1
91,HR,Campaign,1,7,15,0
92,HR,Payment,5,21,15,1
93,Finance,Hiring,1,26,6,1
94,Finance,Campaign,4,14,3,1
95,Finance,Development,5,7,6,1
96,Finance,Support,5,24,16,1
97,Finance,Payment,2,8,2,1
98,HR,Campaign,4,1,7,1
99,Finance,Hiring,4,24,11,0
100,Marketing,Campaign,5,22,7,1
101,Tech,Hiring,4,4,4,1
102,Finance,Development,5,29,20,1
103,Finance,Support,2,30,7,0
104,HR,Development,5,12,4,0
105,Finance,Payment,4,24,12,1
106,Finance,Campaign,4,3,5,0
107,Finance,Hiring,5,13,19,1
108,HR,Hiring,5,20,5,1
109,Finance,Campaign,5,6,19,0
