Task_ID,Department,Task_Type,Priority,Deadline_Days,Estimated_Hours,Resource_Available,Optimization_Score
1238,HR,Development,5,1,19,1,30.0
539,Marketing,Development,5,1,16,1,30.0
2845,Finance,Development,5,1,2,1,30.0
1002,Tech,Support,5,1,5,1,30.0
1624,HR,Development,5,1,13,1,30.0
793,Marketing,Support,5,1,20,1,30.0
860,Tech,Hiring,5,1,1,1,30.0
157,Tech,Payment,5,1,12,1,30.0
2446,Marketing,Payment,5,1,5,1,30.0
2473,Tech,Payment,5,1,2,1,30.0
1404,Finance,Campaign,5,1,8,1,30.0
120,Marketing,Development,5,1,3,1,30.0
2161,Marketing,Hiring,5,1,8,1,30.0
2634,HR,Support,5,1,17,1,30.0
836,HR,Hiring,5,1,9,1,30.0
1839,HR,Hiring,4,1,7,1,27.0
1813,Tech,Hiring,4,1,2,1,27.0
1878,Finance,Support,4,1,7,1,27.0
2358,Tech,Payment,4,1,9,1,27.0
2445,HR,Hiring,4,1,6,1,27.0
98,HR,Campaign,4,1,7,1,27.0
498,HR,Development,4,1,12,1,27.0
1333,Tech,Payment,4,1,19,1,27.0
2289,Marketing,Hiring,5,1,5,0,25.0
1021,Tech,Development,5,2,12,1,25.0
2258,Finance,Campaign,5,2,5,1,25.0
706,Marketing,Support,5,1,15,0,25.0
1780,HR,Support,5,1,1,0,25.0
559,HR,Support,5,2,12,1,25.0
601,Marketing,Development,5,2,14,1,25.0
2806,Tech,Development,5,2,7,1,25.0
953,Marketing,Development,5,1,3,0,25.0
2824,HR,Development,5,1,17,0,25.0
904,Tech,Hiring,5,2,10,1,25.0
1477,Tech,Payment,5,2,1,1,25.0
1455,Marketing,Development,5,1,15,0,25.0
2652,Marketing,Support,5,1,17,0,25.0
837,Tech,Support,5,2,20,1,25.0
1612,Finance,Hiring,5,1,3,0,25.0
1627,Marketing,Development,5,1,11,0,25.0
2592,Finance,Campaign,5,2,19,1,25.0
2179,Tech,Campaign,5,1,10,0,25.0
258,Finance,Support,5,2,1,1,25.0
1694,Tech,Development,5,2,14,1,25.0
2908,Marketing,Hiring,5,1,13,0,25.0
2317,Finance,Payment,3,1,17,1,24.0
2278,Finance,Campaign,3,1,4,1,24.0
723,HR,Campaign,3,1,8,1,24.0
1944,Finance,Development,3,1,7,1,24.0
2072,Tech,Hiring,3,1,1,1,24.0
424,Tech,Hiring,3,1,5,1,24.0
54,HR,Payment,3,1,4,1,24.0
937,Finance,Support,3,1,19,1,24.0
2220,Tech,Payment,3,1,17,1,24.0
2398,Tech,Development,3,1,10,1,24.0
2148,Marketing,Hiring,5,3,13,1,23.333333333333332
980,Finance,Support,5,3,12,1,23.333333333333332
2529,HR,Development,5,3,16,1,23.333333333333332
1166,Finance,Hiring,5,3,4,1,23.333333333333332
2005,HR,Hiring,5,3,16,1,23.333333333333332
1683,Marketing,Hiring,5,4,15,1,22.5
412,HR,Support,5,4,4,1,22.5
1210,Marketing,Development,5,4,13,1,22.5
1985,Finance,Campaign,5,4,14,1,22.5
2390,Finance,Support,5,4,5,1,22.5
2381,Finance,Hiring,5,4,13,1,22.5
2651,HR,Development,5,4,12,1,22.5
482,Finance,Payment,5,5,18,1,22.0
2076,Tech,Campaign,4,1,18,0,22.0
742,Finance,Hiring,4,2,17,1,22.0
178,Tech,Support,5,5,11,1,22.0
2136,Marketing,Hiring,5,5,14,1,22.0
442,HR,Support,4,2,19,1,22.0
437,HR,Campaign,4,2,7,1,22.0
2229,Marketing,Hiring,4,1,19,0,22.0
1122,Tech,Campaign,5,5,2,1,22.0
283,Finance,Hiring,5,5,19,1,22.0
327,Tech,Support,4,2,6,1,22.0
1818,Tech,Development,4,1,8,0,22.0
2755,HR,Development,4,1,20,0,22.0
309,HR,Payment,4,2,19,1,22.0
137,Marketing,Hiring,4,2,19,1,22.0
1492,Tech,Campaign,4,1,12,0,22.0
1554,HR,Hiring,5,5,14,1,22.0
819,HR,Support,5,5,4,1,22.0
827,Tech,Support,5,5,2,1,22.0
753,Finance,Campaign,5,5,3,1,22.0
2296,HR,Development,4,1,12,0,22.0
1313,Marketing,Hiring,4,1,17,0,22.0
2870,Tech,Campaign,4,1,11,0,22.0
2877,Finance,Support,4,1,3,0,22.0
404,Marketing,Campaign,4,1,3,0,22.0
2230,HR,Hiring,4,1,8,0,22.0
1124,Tech,Support,4,1,13,0,22.0
974,Tech,Campaign,4,2,2,1,22.0
2790,HR,Development,4,1,12,0,22.0
355,HR,Campaign,4,2,12,1,22.0
1868,Marketing,Campaign,4,1,10,0,22.0
1897,Finance,Development,4,1,16,0,22.0
2302,Marketing,Development,4,1,7,0,22.0
1638,Marketing,Development,5,6,4,1,21.666666666666668
2632,Tech,Support,5,6,11,1,21.666666666666668
1596,HR,Payment,5,6,20,1,21.666666666666668
2482,Marketing,Development,5,6,7,1,21.666666666666668
2807,Marketing,Payment,5,6,15,1,21.666666666666668
606,Tech,Campaign,5,6,19,1,21.666666666666668
1893,Marketing,Campaign,5,6,16,1,21.666666666666668
349,HR,Payment,5,6,19,1,21.666666666666668
993,Finance,Hiring,5,6,10,1,21.666666666666668
35,Finance,Support,5,6,6,1,21.666666666666668
311,HR,Hiring,5,7,6,1,21.428571428571427
1606,Tech,Payment,5,7,15,1,21.428571428571427
810,Marketing,Development,5,7,4,1,21.428571428571427
403,Tech,Support,5,7,1,1,21.428571428571427
2277,HR,Hiring,5,7,16,1,21.428571428571427
95,Finance,Development,5,7,6,1,21.428571428571427
2051,Finance,Development,5,7,1,1,21.428571428571427
2478,HR,Hiring,5,7,19,1,21.428571428571427
1810,Finance,Hiring,5,7,19,1,21.428571428571427
1738,Tech,Hiring,5,7,4,1,21.428571428571427
1598,Marketing,Campaign,5,7,6,1,21.428571428571427
468,Marketing,Payment,5,7,7,1,21.428571428571427
987,HR,Campaign,5,8,8,1,21.25
2283,HR,Campaign,5,8,5,1,21.25
1717,HR,Development,5,8,9,1,21.25
833,Tech,Development,5,8,18,1,21.25
2468,Marketing,Hiring,5,8,11,1,21.25
2352,Marketing,Hiring,5,8,20,1,21.25
2030,HR,Campaign,5,8,9,1,21.25
36,Marketing,Development,5,8,11,1,21.25
2662,Finance,Support,5,8,8,1,21.25
2950,HR,Hiring,5,8,2,1,21.25
1144,Tech,Payment,5,9,6,1,21.11111111111111
1567,Marketing,Payment,5,9,5,1,21.11111111111111
2557,HR,Support,5,9,10,1,21.11111111111111
2364,HR,Payment,5,9,20,1,21.11111111111111
1373,HR,Support,5,9,1,1,21.11111111111111
692,Finance,Campaign,5,9,15,1,21.11111111111111
1771,Tech,Hiring,5,9,7,1,21.11111111111111
1317,Finance,Hiring,5,9,20,1,21.11111111111111
985,HR,Payment,5,9,7,1,21.11111111111111
2244,Finance,Hiring,5,9,16,1,21.11111111111111
2969,Tech,Payment,5,9,12,1,21.11111111111111
1729,Finance,Development,5,9,1,1,21.11111111111111
863,Finance,Support,5,9,1,1,21.11111111111111
794,HR,Campaign,5,9,15,1,21.11111111111111
948,HR,Campaign,5,9,19,1,21.11111111111111
2608,Marketing,Payment,5,10,10,1,21.0
1275,Tech,Development,2,1,20,1,21.0
2850,Finance,Hiring,5,10,12,1,21.0
2205,Marketing,Payment,2,1,7,1,21.0
2238,Tech,Hiring,2,1,1,1,21.0
2121,HR,Payment,2,1,11,1,21.0
979,HR,Hiring,5,10,1,1,21.0
2325,Tech,Hiring,5,10,2,1,21.0
2695,HR,Payment,2,1,15,1,21.0
1156,Marketing,Hiring,5,10,7,1,21.0
2636,Finance,Campaign,5,10,14,1,21.0
1548,Tech,Hiring,5,10,2,1,21.0
775,Finance,Campaign,2,1,5,1,21.0
274,HR,Campaign,5,10,11,1,21.0
1725,Finance,Hiring,5,10,13,1,21.0
821,Tech,Hiring,2,1,5,1,21.0
1547,HR,Campaign,5,10,5,1,21.0
619,Tech,Support,2,1,7,1,21.0
558,Finance,Hiring,2,1,17,1,21.0
1494,Finance,Hiring,2,1,2,1,21.0
1824,HR,Payment,5,10,8,1,21.0
2415,Finance,Hiring,2,1,4,1,21.0
1349,HR,Payment,2,1,18,1,21.0
960,Tech,Campaign,2,1,5,1,21.0
1784,Finance,Campaign,5,10,6,1,21.0
46,HR,Support,2,1,20,1,21.0
2075,Tech,Payment,5,11,10,1,20.909090909090907
2105,HR,Payment,5,11,9,1,20.909090909090907
80,HR,Support,5,11,17,1,20.909090909090907
1047,Tech,Payment,5,11,12,1,20.909090909090907
2190,Tech,Hiring,5,11,14,1,20.909090909090907
1133,Finance,Payment,5,11,12,1,20.909090909090907
2894,Marketing,Campaign,5,11,15,1,20.909090909090907
971,HR,Payment,5,11,4,1,20.909090909090907
2486,Tech,Campaign,5,11,14,1,20.909090909090907
652,HR,Development,5,11,11,1,20.909090909090907
672,Finance,Support,5,11,14,1,20.909090909090907
843,Marketing,Hiring,5,11,17,1,20.909090909090907
1142,Marketing,Campaign,5,11,16,1,20.909090909090907
2629,Finance,Development,5,11,12,1,20.909090909090907
461,Finance,Hiring,5,11,17,1,20.909090909090907
2160,Marketing,Campaign,5,12,17,1,20.833333333333336
1576,Tech,Campaign,5,12,16,1,20.833333333333336
330,HR,Campaign,5,12,16,1,20.833333333333336
2120,HR,Development,5,12,13,1,20.833333333333336
2690,HR,Hiring,5,13,17,1,20.76923076923077
2599,Tech,Payment,5,13,16,1,20.76923076923077
1744,Tech,Development,5,13,2,1,20.76923076923077
1108,Finance,Support,5,13,19,1,20.76923076923077
573,Marketing,Campaign,5,13,9,1,20.76923076923077
1249,Finance,Support,5,13,6,1,20.76923076923077
107,Finance,Hiring,5,13,19,1,20.76923076923077
851,Tech,Campaign,5,13,3,1,20.76923076923077
166,Marketing,Payment,5,14,20,1,20.714285714285715
317,Tech,Hiring,5,14,18,1,20.714285714285715
2414,Tech,Development,5,14,10,1,20.714285714285715
1929,HR,Campaign,5,14,19,1,20.714285714285715
1965,Marketing,Campaign,5,14,20,1,20.714285714285715
1912,Finance,Payment,5,14,20,1,20.714285714285715
976,Finance,Campaign,5,14,12,1,20.714285714285715
1294,Marketing,Development,5,14,16,1,20.714285714285715
511,Marketing,Payment,5,14,3,1,20.714285714285715
1239,Marketing,Hiring,5,14,16,1,20.714285714285715
2083,Marketing,Development,5,15,3,1,20.666666666666664
2145,Marketing,Development,5,15,15,1,20.666666666666664
670,Tech,Campaign,5,15,8,1,20.666666666666664
2767,Finance,Support,5,15,2,1,20.666666666666664
434,HR,Development,5,15,8,1,20.666666666666664
154,Tech,Payment,5,15,13,1,20.666666666666664
1070,Marketing,Hiring,5,15,5,1,20.666666666666664
1185,HR,Support,5,15,9,1,20.666666666666664
1566,Tech,Support,5,15,14,1,20.666666666666664
1149,Tech,Campaign,5,15,6,1,20.666666666666664
1363,Marketing,Campaign,5,15,6,1,20.666666666666664
2201,Marketing,Payment,5,15,4,1,20.666666666666664
1243,Tech,Support,5,15,9,1,20.666666666666664
2424,Marketing,Hiring,5,16,14,1,20.625
736,Tech,Support,5,16,19,1,20.625
2698,HR,Hiring,5,16,16,1,20.625
1030,Marketing,Hiring,5,16,10,1,20.625
1071,Marketing,Payment,5,16,13,1,20.625
114,Finance,Payment,5,16,9,1,20.625
546,HR,Development,5,16,6,1,20.625
444,HR,Campaign,5,16,7,1,20.625
2900,Finance,Payment,5,16,5,1,20.625
1708,Finance,Development,5,16,4,1,20.625
2146,HR,Development,5,17,2,1,20.588235294117645
2883,Marketing,Hiring,5,17,5,1,20.588235294117645
2223,Finance,Payment,5,17,3,1,20.588235294117645
2913,Finance,Hiring,5,17,18,1,20.588235294117645
224,HR,Hiring,5,17,20,1,20.588235294117645
2978,Marketing,Hiring,5,17,1,1,20.588235294117645
1225,Marketing,Support,5,17,7,1,20.588235294117645
2004,HR,Payment,5,17,10,1,20.588235294117645
1886,Finance,Hiring,5,17,2,1,20.588235294117645
56,HR,Payment,5,17,1,1,20.588235294117645
1483,Finance,Support,5,17,7,1,20.588235294117645
1437,Finance,Development,5,17,9,1,20.588235294117645
1170,Tech,Payment,5,17,10,1,20.588235294117645
2519,Finance,Support,5,18,13,1,20.555555555555557
337,Marketing,Support,5,18,7,1,20.555555555555557
1593,HR,Support,5,18,15,1,20.555555555555557
1820,Tech,Hiring,5,18,15,1,20.555555555555557
1704,Tech,Hiring,5,18,4,1,20.555555555555557
854,Tech,Payment,5,18,6,1,20.555555555555557
2442,Finance,Development,5,18,2,1,20.555555555555557
2065,Tech,Support,5,18,8,1,20.555555555555557
1862,Finance,Hiring,5,18,4,1,20.555555555555557
690,Finance,Campaign,5,18,14,1,20.555555555555557
1051,Finance,Support,5,18,5,1,20.555555555555557
991,Finance,Development,5,18,17,1,20.555555555555557
2708,Finance,Support,5,19,6,1,20.526315789473685
1670,HR,Hiring,5,19,14,1,20.526315789473685
1091,HR,Hiring,5,19,15,1,20.526315789473685
2736,Finance,Payment,5,19,20,1,20.526315789473685
2060,Tech,Payment,5,19,17,1,20.526315789473685
2826,Finance,Hiring,5,19,15,1,20.526315789473685
2123,Tech,Hiring,5,19,2,1,20.526315789473685
370,Tech,Campaign,5,19,11,1,20.526315789473685
2165,Finance,Campaign,5,19,6,1,20.526315789473685
1730,Finance,Development,5,19,16,1,20.526315789473685
2377,Tech,Hiring,5,19,10,1,20.526315789473685
1979,Tech,Payment,5,20,18,1,20.5
2351,HR,Hiring,5,20,18,1,20.5
654,Marketing,Hiring,5,20,8,1,20.5
108,HR,Hiring,5,20,5,1,20.5
1312,Finance,Campaign,5,20,11,1,20.5
2128,Tech,Support,5,20,15,1,20.5
1936,HR,Development,5,20,8,1,20.5
1436,Finance,Support,5,20,15,1,20.5
2741,Finance,Hiring,5,20,1,1,20.5
2494,HR,Campaign,5,20,9,1,20.5
795,Marketing,Support,5,20,14,1,20.5
1850,Finance,Payment,5,20,7,1,20.5
713,Marketing,Hiring,5,20,12,1,20.5
92,HR,Payment,5,21,15,1,20.476190476190474
2157,HR,Hiring,5,21,8,1,20.476190476190474
939,Finance,Hiring,5,21,19,1,20.476190476190474
2124,Marketing,Support,5,21,17,1,20.476190476190474
2032,Marketing,Support,5,21,16,1,20.476190476190474
2459,Marketing,Support,5,22,13,1,20.454545454545453
116,HR,Payment,5,22,10,1,20.454545454545453
720,HR,Support,5,22,12,1,20.454545454545453
2208,HR,Support,5,22,13,1,20.454545454545453
272,HR,Payment,5,22,14,1,20.454545454545453
100,Marketing,Campaign,5,22,7,1,20.454545454545453
1337,Tech,Development,5,22,3,1,20.454545454545453
1234,Marketing,Campaign,5,22,13,1,20.454545454545453
89,HR,Support,5,22,19,1,20.454545454545453
2787,Finance,Payment,5,22,4,1,20.454545454545453
1327,Marketing,Development,5,22,9,1,20.454545454545453
565,HR,Development,5,22,16,1,20.454545454545453
1940,Tech,Support,5,22,11,1,20.454545454545453
128,Marketing,Hiring,5,23,12,1,20.434782608695652
2780,Tech,Development,5,23,2,1,20.434782608695652
533,Marketing,Campaign,5,23,4,1,20.434782608695652
612,Finance,Support,5,23,6,1,20.434782608695652
734,HR,Support,5,23,3,1,20.434782608695652
2660,HR,Hiring,5,23,20,1,20.434782608695652
2676,Marketing,Hiring,5,23,4,1,20.434782608695652
2704,Marketing,Support,5,23,15,1,20.434782608695652
522,Tech,Support,5,23,12,1,20.434782608695652
2225,HR,Development,5,23,15,1,20.434782608695652
2153,Marketing,Development,5,23,6,1,20.434782608695652
737,HR,Campaign,5,24,15,1,20.416666666666664
717,Tech,Support,5,24,5,1,20.416666666666664
1509,HR,Support,5,24,14,1,20.416666666666664
228,Finance,Payment,5,24,1,1,20.416666666666664
2729,Tech,Development,5,24,18,1,20.416666666666664
1578,Finance,Campaign,5,24,13,1,20.416666666666664
2560,Finance,Support,5,24,10,1,20.416666666666664
661,HR,Hiring,5,24,15,1,20.416666666666664
96,Finance,Support,5,24,16,1,20.416666666666664
2872,Finance,Payment,5,24,19,1,20.416666666666664
1844,Tech,Support,5,24,3,1,20.416666666666664
2413,Finance,Support,5,24,5,1,20.416666666666664
415,Tech,Campaign,5,25,17,1,20.4
1358,Tech,Hiring,5,25,17,1,20.4
599,HR,Development,5,25,12,1,20.4
2775,HR,Support,5,25,16,1,20.4
1351,HR,Development,5,25,12,1,20.4
2841,Marketing,Campaign,5,25,11,1,20.4
1434,HR,Hiring,5,25,13,1,20.4
71,Finance,Payment,5,25,6,1,20.4
520,Finance,Support,5,25,19,1,20.4
2638,Finance,Development,5,25,11,1,20.4
1789,Marketing,Hiring,5,25,4,1,20.4
1425,HR,Campaign,5,25,3,1,20.4
1603,Finance,Campaign,5,25,14,1,20.4
2017,Marketing,Support,5,26,2,1,20.384615384615387
2110,Finance,Support,5,26,9,1,20.384615384615387
778,HR,Campaign,5,26,14,1,20.384615384615387
2919,HR,Development,5,26,5,1,20.384615384615387
286,Tech,Development,5,26,18,1,20.384615384615387
1372,Tech,Payment,5,26,6,1,20.384615384615387
133,Marketing,Campaign,5,26,2,1,20.384615384615387
2992,Finance,Payment,5,26,11,1,20.384615384615387
1006,Marketing,Hiring,5,26,16,1,20.384615384615387
343,Tech,Campaign,5,27,8,1,20.37037037037037
1352,HR,Hiring,5,27,17,1,20.37037037037037
1191,Tech,Campaign,5,27,14,1,20.37037037037037
1757,Marketing,Payment,5,27,17,1,20.37037037037037
1786,HR,Support,5,27,6,1,20.37037037037037
1479,Finance,Support,5,27,5,1,20.37037037037037
1848,HR,Development,5,27,7,1,20.37037037037037
167,HR,Campaign,5,27,10,1,20.37037037037037
2684,Marketing,Development,5,27,4,1,20.37037037037037
341,Tech,Payment,5,27,4,1,20.37037037037037
1687,HR,Development,5,27,16,1,20.37037037037037
2216,Finance,Campaign,5,27,14,1,20.37037037037037
1571,Finance,Campaign,5,28,20,1,20.357142857142858
2875,HR,Development,5,28,19,1,20.357142857142858
841,Tech,Campaign,5,28,9,1,20.357142857142858
2677,Marketing,Campaign,5,28,16,1,20.357142857142858
1520,Marketing,Campaign,5,28,10,1,20.357142857142858
1552,Marketing,Hiring,5,28,14,1,20.357142857142858
943,HR,Campaign,5,28,3,1,20.357142857142858
2635,Finance,Support,5,29,8,1,20.344827586206897
1331,Finance,Hiring,5,29,12,1,20.344827586206897
117,Marketing,Hiring,5,29,13,1,20.344827586206897
1302,HR,Development,5,29,5,1,20.344827586206897
288,Marketing,Campaign,5,29,7,1,20.344827586206897
897,Finance,Development,5,29,6,1,20.344827586206897
1574,Finance,Support,5,29,15,1,20.344827586206897
664,Finance,Development,5,29,10,1,20.344827586206897
512,Finance,Hiring,5,29,3,1,20.344827586206897
2264,Finance,Campaign,5,29,11,1,20.344827586206897
102,Finance,Development,5,29,20,1,20.344827586206897
